date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:40	123486/123486	---M-Z	200	added ('OK')	text/html	etag:W/%22c4def80d4112e469f6e42fdbd2974f03--gzip%22	https://www.marrisawilsonny.com/	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/www.marrisawilsonny.com/index.html	(from )
11:22:40	346/346	---M-Z	200	added ('OK')	text/plain	date:Mon,%2022%20Jan%202024%2022:41:14%20GMT	https://www.marrisawilsonny.com/robots.txt		(from )
11:22:40	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Tue,%2023%20Jan%202024%2006:22:40%20GMT	http://static1.squarespace.com/static/569bffe6e0327c41cd9cd467/t/64a09239cf0db01a6970540a/1688244793421/New+Branding+SocialArtboard+5-1+copy.png?format=1500w	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/static1.squarespace.com/static/569bffe6e0327c41cd9cd467/t/64a09239cf0db01a6970540a/1688244793421/New+Branding+SocialArtboard+5-1+copy.026f7.delayed	(from https://www.marrisawilsonny.com/)
11:22:42	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://www.marrisawilsonny.com/)
11:22:44	20474/20474	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2023%20Jan%202024%2006:22:43%20GMT	http://use.typekit.net/ik/oQorSiGHhQtPLNr-46x3yOdJj4D9ejhx6rCRuQ9mBZjfen6BfFHN4UJLFRbh52jhWD9h5A4cZc9hZQMDwRiRF2BRZ28RZ2bhFU7iMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0dABkSc8DjPua-AUDdhtlwhUE5PoDSWmyScmDSeBRZPoRdhXCHKoDSWmyScmDSeBRZWFR-emqiAUTdcS0jhNlOeBRiA8XpWFR-emqiAUTdcS0jhNlOeBRiA8XpWFR-emqiAUTdcS0dcmXOeBDOcu8OeUzjhBC-eNDifUljW4k-WFyOWiTdYFzdKXDdYGoO1FUiABkZWF3jAF8OcFzdPUljW4k-WFyih8CShN0d1q0jhNlOYFUiABkZWF3jAF8ShFGZAsude80ZkoRdhXCiaiaOcBRiA8XpWFR-emqiAUTdcS0jhNlOYiaikoyjamTiY8Djhy8ZYmC-Ao1Oco8ifUaiaS0jWw0dA9CiaiaOcuyS14TShIlih8CShN0OQFCpRq0SaBujW48Sagyjh90jhNlOYiaikoljW4k-WFyih8CShN0d1q0jhNlOYiaikoDSWmyScmDSeBRZWFR-emqiAUTdcS0jhNlJ6U3ScNt-AuyOAozicIKfc48jcBDOAo8iA9K2hsTdKXkw2IXOAoyS14zikJsj14ydcszdKu1ScNXZWFUiA9KfAZuiYmkjPu3ifJ5dYsROA4zZeN0-PXUFD97fbRKHyMMeMw6MKG4fHvgIMMjgfMfH6qJnbIbMg6eJMJ7fbKOMsMMeMS6MKG4fFNGIMIjgfMfH6GJExCgIMJjMkMfH6GJ_VCgIMJjgfMfH6GJ_LCgIMJjgKMfH6GJ_zCgIMJjgkMfH6qJ0BMbMU6YJMJ7fbKImsMIeMb6MKG4fVvnIM9jgfMfH6qJxKCbgs65JMHbMZnC6-9e.js	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/use.typekit.net/ik/oQorSiGHhQtPLNr-46x3yOdJj4D9ejhx6rCRuQ9mBZjfen6BfFHN4UJLFRbh52jhWD9h5A4cZc9hZQMDwRiRF2BRZ28RZ2bhFU7iMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37Oc	(from https://www.marrisawilsonny.com/)
11:22:46	50886/50886	---M--	200	added ('OK')	image/png	etag:CLbukPmx7v8CEAE=	https://images.squarespace-cdn.com/content/569bffe6e0327c41cd9cd467/b480af9a-afaa-4417-95e3-dcb38b9a0ae6/New+Branding+SocialArtboard+5-1+copy.png?content-type=image%2Fpng	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/images.squarespace-cdn.com/content/569bffe6e0327c41cd9cd467/b480af9a-afaa-4417-95e3-dcb38b9a0ae6/New+Branding+SocialArtboard+5-1+copy5d45.png	(from https://www.marrisawilsonny.com/)
11:22:46	44694/44694	---M-Z	200	added ('OK')	text/javascript	etag:%22d329a22a211d881f3b248db78435a28c%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-df4714b1692f1cf006e5-min.en-US.js	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-df4714b1692f1cf006e5-min.en-US.js	(from https://www.marrisawilsonny.com/)
11:22:48	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.marrisawilsonny.com/)
11:22:50	124621/124621	---M-Z	200	added ('OK')	text/javascript	etag:%2285b875f9fdc87e56b8f63608c90f9fe8%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-a682f7ad337741eb05d6-min.en-US.js	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-a682f7ad337741eb05d6-min.en-US.js	(from https://www.marrisawilsonny.com/)
11:22:59	246065/246065	---M-Z	200	added ('OK')	text/javascript	etag:%2256ee1cd95f0ed758feed83782291ef62%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-f9df4447a2af25df5875-min.en-US.js	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-f9df4447a2af25df5875-min.en-US.js	(from https://www.marrisawilsonny.com/)
11:23:08	1370955/1370955	---M-Z	200	added ('OK')	text/javascript	etag:%22024dc916213a067b37906492f65051eb%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-f36b6dc9867ad0b8d0a8-min.en-US.js	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-f36b6dc9867ad0b8d0a8-min.en-US.js	(from https://www.marrisawilsonny.com/)
